1/CM,Line_intensity,global upper quanta,global lower quanta,local upper quanta,local lower quanta
1538.069864,4.652e-25,          0 1 0,          0 0 0, 11  9  2      , 11 10  1      
1538.073321,1.551e-25,          0 1 0,          0 0 0, 11  9  3      , 11 10  2      
1538.20082,2.646e-27,          1 1 0,          1 0 0,  5  1  4      ,  5  2  3      
1538.24963,4.336e-22,          0 1 0,          0 0 0,  5  0  5      ,  4  3  2      
1538.277946,1.719e-27,          0 1 0,          0 0 0, 14  7  7      , 15  6 10      
1538.29053,1.331e-20,          0 1 0,          0 0 0,  3  2  2      ,  4  1  3      
1538.890027,5.839e-30,          0 1 1,          1 0 0,  6  0  6      ,  7  0  7      
1539.01404,2.468e-21,          0 1 0,          0 0 0,  8  3  5      ,  8  4  4      
1539.05352,2.941e-25,          0 1 0,          0 0 0, 10  9  1      , 10 10  0      
1539.05352,8.823e-25,          0 1 0,          0 0 0, 10  9  2      , 10 10  1      
1539.05857,3.25e-20,          0 1 0,          0 0 0,  4  2  2      ,  4  3  1      
1539.06079,2.268e-19,          0 1 0,          0 0 0,  1  0  1      ,  2  1  2      
1539.06837,4.81e-26,          0 2 0,          0 1 0,  9  4  5      , 10  3  8      
1539.06929,1.13e-25,          0 1 0,          0 0 0, 12  6  6      , 13  5  9      
1539.094615,1.587e-28,          1 1 0,          1 0 0,  4  3  2      ,  5  2  3      
1539.190109,4.942e-30,          1 0 0,          0 1 0, 13  1 12      , 12  6  7      
1539.461548,2.12e-27,          0 3 0,          0 2 0,  5  2  4      ,  4  3  1      
1539.566418,2.154e-27,          0 1 1,          0 0 1,  0  0  0      ,  1  1  1      
1539.62407,8.28e-26,          0 1 0,          0 0 0, 13  5  8      , 14  4 11      
1539.747039,5.171e-29,          0 4 0,          0 3 0,  4  0  4      ,  3  1  3      
1539.77202,9.278e-28,          0 1 1,          0 0 1,  3  0  3      ,  3  1  2      
1539.800246,1.31e-27,          0 3 0,          0 2 0,  5  3  2      ,  4  4  1      
1540.160473,2.732e-29,          0 0 1,          0 1 0, 10  2  9      , 11  4  8      
1540.265909,5.129e-28,          1 0 0,          0 1 0,  8  1  7      ,  9  4  6      
1540.29977,1.779e-19,          0 1 0,          0 0 0,  2  1  2      ,  3  0  3      
1540.39578,6.296e-28,          1 0 0,          0 1 0, 10  3  8      , 11  4  7      
1540.4794,3.162e-27,          1 0 0,          0 1 0,  7  6  2      ,  8  7  1      
1540.480012,9.487e-27,          1 0 0,          0 1 0,  7  6  1      ,  8  7  2      
1540.524552,1.394e-29,          0 1 0,          0 0 0, 16  8  8      , 17  7 11      
1540.77198,1.976e-26,          0 3 0,          0 2 0,  3  1  2      ,  2  2  1      
1540.789775,4.816e-28,          0 0 1,          0 1 0,  8  4  4      ,  9  6  3      
1541.057551,1.965e-27,          0 1 1,          0 0 1,  2  1  1      ,  2  2  0      
1541.103802,3.789e-27,          0 2 0,          0 1 0, 10  4  6      , 11  3  9      
1541.10913,2.874e-26,          0 3 0,          0 2 0,  2  0  2      ,  1  1  1      
1541.636651,4.192e-28,          0 3 0,          0 2 0,  7  3  4      ,  8  2  7      
1541.681817,1.215e-27,          1 1 0,          1 0 0,  0  0  0      ,  1  1  1      
1541.842528,7.172e-25,          0 1 0,          0 0 0, 14  4 10      , 14  5  9      
1541.938922,8.71e-27,          0 1 0,          0 0 0, 13  7  7      , 14  6  8      
1541.95407,5.319e-20,          0 1 0,          0 0 0,  4  0  4      ,  4  1  3      
1542.03141,3.029e-22,          0 1 0,          0 0 0, 11  3  8      , 11  4  7      
1542.041657,1.084e-27,          1 1 0,          1 0 0,  2  1  1      ,  2  2  0      
1542.110096,3.678e-28,          0 3 0,          0 2 0,  6  3  3      ,  7  2  6      
1542.15978,1.183e-19,          0 1 0,          0 0 0,  2  1  2      ,  2  2  1      
1542.163373,2.412e-27,          0 1 1,          0 0 1,  4  1  3      ,  4  2  2      
1542.300732,4.831e-27,          1 1 0,          1 0 0,  3  0  3      ,  3  1  2      
1542.411821,2.554e-27,          0 2 0,          0 1 0, 10  5  5      , 11  4  8      
1542.435462,6.039e-29,          1 0 0,          0 1 0,  6  0  6      ,  6  5  1      
1542.725311,1.544e-23,          0 1 0,          0 0 0, 12  4  8      , 12  5  7      
1542.77931,3.451e-29,          0 3 0,          0 2 0,  8  4  4      ,  9  3  7      
1542.822551,2.091e-25,          0 1 0,          0 0 0, 15  5 10      , 15  6  9      
1542.875178,6.153e-28,          1 0 0,          0 1 0,  8  3  6      ,  8  6  3      
1543.02269,4.086e-25,          0 1 0,          0 0 0, 12  1 11      , 11  4  8      
1543.023795,1.473e-27,          1 0 0,          0 1 0,  9  5  4      , 10  6  5      
1543.062708,9.655e-28,          1 0 0,          0 1 0,  5  2  3      ,  6  5  2      
1543.081452,4.77e-28,          1 0 0,          0 1 0, 10  2  9      , 10  5  6      
1543.231263,1.029e-28,          0 1 0,          0 0 0, 18  6 12      , 18  7 11      
1543.344568,3.958e-28,          1 0 0,          0 1 0,  9  5  5      , 10  6  4      
1543.379081,4.861e-27,          0 1 0,          0 0 0, 17  5 12      , 17  6 11      
1543.39358,9.117e-28,          0 1 1,          0 0 1,  3  1  2      ,  3  2  1      
1543.49021,2.348e-20,          0 1 0,          0 0 0,  6  1  5      ,  6  2  4      
1543.73187,1.767e-23,          0 2 0,          0 1 0,  2  2  1      ,  3  1  2      
